participant,language,task,word,stop,foll_vowel,type,duration,excl,negvotva,posvotva,
001,en,q1,concerned,k,ə,POS_VOT,77,,,,
001,en,q1,confused,k,ə,POS_VOT,69,,,,
001,en,q1,bit,b,ɪ,POS_VOT,9,,,,
001,en,q1,confused,k,ə,POS_VOT,61,,,,
001,en,q1,because,b,ɪ,NEG_VOT,-40,,,,
001,en,q1,daughter,d,ɔː,POS_VOT,7,,,,
001,en,q1,depends,d,ɪ,NEG_VOT,,NR,,,
001,en,q1,degree,d,ɪ,NEG_VOT,,NR,,,
001,en,q1,gods,ɡ,ɒ,NEG_VOT,,VA,-24,23,at 34 s
001,en,q1,gods,ɡ,ɒ,POS_VOT,20,,,,
001,en,q1,course,k,ɔː,POS_VOT,77,,,,
001,en,q1,but,b,ʌ,NEG_VOT,-98,,,,
001,en,q1,difficult,d,ɪ,NEG_VOT,,VA,-37,16,
001,en,q1,bit,b,ɪ,NEG_VOT,-84,,,,
001,en,q1,can,k,æ,POS_VOT,43,,,,
001,en,q1,because,b,ɪ,NEG_VOT,-115,,,,
001,en,q1,kilometres,k,ɪ,POS_VOT,42,,,,
001,en,q1,between,b,ɪ,POS_VOT,61,,,,
001,en,q1,daughter,d,ɔː,POS_VOT,52,,,,
001,en,q1,dorm,d,ɔː,POS_VOT,16,,,,
001,en,q1,to,t,uː,POS_VOT,42,,,,
001,en,q1,bit,b,ɪ,POS_VOT,12,,,,
001,en,q1,together,t,ə,POS_VOT,53,,,,
001,en,q1,but,b,ʌ,NEG_VOT,-112,,,,
001,en,q1,to,t,uː,POS_VOT,42,,,,
001,en,q1,go,ɡ,əʊ,POS_VOT,30,,,,
001,en,q1,to,t,uː,POS_VOT,36,,,,
001,en,q1,concert,k,ɒ,POS_VOT,59,,,,
001,en,q1,can,k,æ,POS_VOT,46,,,,
001,en,q1,big,b,ɪ,NEG_VOT,-82,,,,
001,en,q1,to,t,uː,POS_VOT,56,,,,
001,en,q1,but,b,ʌ,NEG_VOT,-83,,,,
001,en,q1,cannot,k,æ,POS_VOT,37,,,,
001,en,q1,but,b,ʌ,POS_VOT,10,,,,
001,en,q1,balaton,b,ɒ,POS_VOT,7,,,,
001,en,q1,two,t,uː,POS_VOT,88,,,,
001,en,q1,girlfriend,ɡ,ɜː,,,VA,-69,33,
001,en,q1,time,t,aɪ,POS_VOT,79,,,,
001,en,q1,together,t,ə,POS_VOT,59,,,,
001,en,q1,cooking,k,ʊ,POS_VOT,62,,,,
001,en,q1,could,k,ʊ,POS_VOT,107,,,,
001,en,q1,to,t,uː,POS_VOT,39,,,,
001,en,q1,but,b,ʌ,POS_VOT,24,,,,
001,en,q1,daughter,d,ɔː,POS_VOT,10,,,,
001,en,q1,to,t,uː,POS_VOT,70,,,,
001,en,q1,time,t,aɪ,POS_VOT,96,,,,
001,en,q1,budapest,b,u,NEG_VOT,-190,,,,
001,en,q1,days,d,eɪ,POS_VOT,13,,,,
001,en,q1,together,t,ə,POS_VOT,51,,,,
001,en,q2,born,b,ɒ,POS_VOT,10,,,,
001,en,q2,biggest,b,ɪ,NEG_VOT,-70,,,,
001,en,q2,take,t,eɪ,POS_VOT,45,,,,
001,en,q2,birthdays,b,ɝ,,,NR,,,
001,en,q2,but,b,ə,NEG_VOT,-77,,,,
001,en,q2,too,t,uː,POS_VOT,83,,,,
001,en,q2,common,k,ɑ,POS_VOT,80,,,,
001,en,q2,because,b,ɪ,NEG_VOT,-48,,,,
001,en,q2,can,k,æ,POS_VOT,37,,,,
001,en,q2,calendar,k,æ,POS_VOT,95,,,,
001,en,q2,parties,p,ɑː,POS_VOT,76,,,,
001,en,q2,gesture,ɡ,ɛ,NEG_VOT,-76,,,,
001,en,q2,because,b,ɪ,POS_VOT,15,,,,
001,en,q2,team,t,iː,POS_VOT,47,,,,
001,en,q2,because,b,ɪ,NEG_VOT,-46,,,,
001,en,q2,birthdays,b,ɝ,NEG_VOT,-100,,,,
001,en,q2,personal,p,ɜː,POS_VOT,76,,,,
001,en,q2,to,t,uː,POS_VOT,53,,,,
001,en,q2,don't,d,ɒ,NEG_VOT,-186,,,,
001,en,q2,don't,d,ɒ,POS_VOT,29,,,,
001,en,q2,to,t,uː,POS_VOT,46,,,,at 88 s
001,en,q2,be,b,iː,NEG_VOT,-75,,,,at 89 s
001,en,q2,by,b,aɪ,NEG_VOT,-138,,,,
001,en,q2,colleagues,k,ɒ,POS_VOT,72,,,,
001,en,q2,birthdays,b,ɜː,,,VA,-107,17,
001,en,q2,people,p,iː,POS_VOT,85,,,,
001,en,q2,believe,b,ɪ,POS_VOT,12,,,,
001,en,q2,but,b,ʌ,,,VA,-96,9,
001,en,q2,bigger,b,ɪ,POS_VOT,15,,,,
001,en,q2,time,t,aɪ,POS_VOT,73,,,,
001,en,q2,to,t,ə,POS_VOT,18,,,,
001,en,q2,to,t,uː,POS_VOT,64,,,,
001,en,q2,but,b,ʌ,NEG_VOT,-142,,,,
001,en,q2,don't,d,oʊ,,,VA,-92,23,
001,en,q2,type,t,aɪ,POS_VOT,100,,,,
001,en,q2,type,t,aɪ,POS_VOT,96,,,,
001,en,q2,to,t,ə,POS_VOT,73,,,,
001,en,q2,be,b,iː,POS_VOT,11,,,,
001,en,q2,together,t,ə,,,NR,,,
001,en,q2,time,t,aɪ,POS_VOT,91,,,,
001,en,q2,together,t,ə,,,NR,,,
001,en,q2,because,b,ɪ,,,NR,,,
001,en,q2,kid,k,i,POS_VOT,92,,,,
001,en,q2,behind,b,ɪ,POS_VOT,9,,,,
001,en,q2,connected,k,ə,POS_VOT,54,,,,
001,en,q2,to,t,uː,POS_VOT,79,,,,
001,en,q2,two,t,uː,POS_VOT,70,,,,
001,en,q2,days,d,eɪ,,,VA,-59,24,
001,en,q2,day,d,e,,,ND,,,
001,en,q2,but,b,ʌ,,,NR,,,
001,en,q2,but,b,ʌ,POS_VOT,7,,,,
001,en,q2,commemorated,k,ə,POS_VOT,89,,,,
001,en,q2,to,t,uː,POS_VOT,70,,,,
001,en,q2,to,t,uː,POS_VOT,37,,,,
001,en,q2,connected,k,ə,POS_VOT,68,,,,
001,en,q2,to,t,ə,POS_VOT,85,,,,
001,en,q2,communist,k,ɑː,POS_VOT,60,,,,
001,en,q2,communism,k,ɔ,POS_VOT,78,,,,
001,en,q2,but,b,ə,,VA,-83,26,,
001,en,q2,kind,k,aɪ,POS_VOT,97,,,,
001,en,q2,kept,k,ɛ,POS_VOT,69,,,,
001,en,q2,because,b,i,,,NR,,,
001,en,q2,put,p,ʊ,POS_VOT,60,,,,
001,en,q2,best,b,ɛ,POS_VOT,101,,,,
001,en,q2,kind,k,aɪ,POS_VOT,91,,,,
001,en,q2,poems,p,oʊ,POS_VOT,87,,,,
001,en,q2,to,t,uː,POS_VOT,39,,,,
001,en,q2,to,t,ə,,,NR,,,
001,en,q2,decorated,d,ɛ,,,VA,-110,17,
001,en,q2,because,b,ɪ,,,NR,,,
001,en,q2,community,k,ə,POS_VOT,76,,,,
