StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q5,Q6,Q7,Q8,Q9,Q10 - simultaneous,Q10 - simultaneous_5_TEXT,Q11 - sequential,Q11 - sequential_6_TEXT,Q12,Q13,Q14,Q15_1_1,Q15_1_2,Q15_2_1,Q15_2_2,Q15_3_1,Q15_3_2,Q16,Q27,Q17,Q28,Q18,Q19_1_1,Q19_1_2,Q19_2_1,Q19_2_2,Q19_3_1,Q19_3_2,Q19_4_1,Q19_4_2,Q22,Q23,Q24,Q26
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you agree with your data being shared with the Hungarian Academy of Sciences?,"Please enter your participant number in the box below:
If your interviewer has not given you your participant number yet, please ask them now.",Is Hungarian your first language?,Do you also speak English?,"What is your proficiency level in English according to the scale used by CEFR?
The Hungarian examination levels are equivalent to the CEFR system as follows:
Belépőfok - A2
Alapfok - B1
Középfok - B2
Felsőfok - C1",Did you learn or acquire English while learning Hungarian or after learning Hungarian?,"How did you acquire English?
Please select the main source - Selected Choice","How did you acquire English?
Please select the main source - Other - Text",How did you learn English?Please select the main source - Selected Choice,How did you learn English?Please select the main source - Other - Text,How old were you when you started learning English?,"At what age, do you think, you reached bilingual proficiency in English?
Bilingual proficiency, for the purpose of this study, is defined as being able to understand complex texts, being able to interact with a degree of fluency, being able to produce texts in a wide range of subjects, i.e. B2 level",Do you speak any other languages?,"Please indicate any other language you speak and your proficiency level according to the CEFR framework here:

A1 - beginner

A2 - pre-intermediate - belépőfok

B1 - intermediate - alapfok

B2 - upper intermediate - középfok

C1 - advanced - felsőfok

C2 - proficient - 1 - Language","Please indicate any other language you speak and your proficiency level according to the CEFR framework here:

A1 - beginner

A2 - pre-intermediate - belépőfok

B1 - intermediate - alapfok

B2 - upper intermediate - középfok

C1 - advanced - felsőfok

C2 - proficient - 1 - Proficiency level","Please indicate any other language you speak and your proficiency level according to the CEFR framework here:

A1 - beginner

A2 - pre-intermediate - belépőfok

B1 - intermediate - alapfok

B2 - upper intermediate - középfok

C1 - advanced - felsőfok

C2 - proficient - 2 - Language","Please indicate any other language you speak and your proficiency level according to the CEFR framework here:

A1 - beginner

A2 - pre-intermediate - belépőfok

B1 - intermediate - alapfok

B2 - upper intermediate - középfok

C1 - advanced - felsőfok

C2 - proficient - 2 - Proficiency level","Please indicate any other language you speak and your proficiency level according to the CEFR framework here:

A1 - beginner

A2 - pre-intermediate - belépőfok

B1 - intermediate - alapfok

B2 - upper intermediate - középfok

C1 - advanced - felsőfok

C2 - proficient - 3 - Language","Please indicate any other language you speak and your proficiency level according to the CEFR framework here:

A1 - beginner

A2 - pre-intermediate - belépőfok

B1 - intermediate - alapfok

B2 - upper intermediate - középfok

C1 - advanced - felsőfok

C2 - proficient - 3 - Proficiency level","Where were you born?
Please include city and country. Like this: Budapest, Hungary","How long did you live or have you been living in Hungary?
Please enter the total amount of time living there, even if it wasn't continuous.

please specify years or months","Where do you live now?
Please include city and country. Like this: London, United Kingdom","How long have you been living in the country you are currently living in?
Please enter the total amount of time living there, even if it wasn't continuous.

please specify years or months","Have you lived in any other country? (>6 months)
You do not need to indicate if you ever lived in another country apart from your birth and current country.",Please indicate any other country you ever lived in and how much time you spent there here: - 1 - Country,Please indicate any other country you ever lived in and how much time you spent there here: - 1 - Time spent there,Please indicate any other country you ever lived in and how much time you spent there here: - 2 - Country,Please indicate any other country you ever lived in and how much time you spent there here: - 2 - Time spent there,Please indicate any other country you ever lived in and how much time you spent there here: - 3 - Country,Please indicate any other country you ever lived in and how much time you spent there here: - 3 - Time spent there,Please indicate any other country you ever lived in and how much time you spent there here: - 4 - Country,Please indicate any other country you ever lived in and how much time you spent there here: - 4 - Time spent there,How old are you?,What is your gender? - Selected Choice,"What is your highest level of education?
If your qualification is not on the list, please choose the closest equivalent or other",Is there anything you would like to add?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID18""}","{""ImportId"":""QID10""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_5_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_6_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID29_1_1""}","{""ImportId"":""QID29_1_2""}","{""ImportId"":""QID29_2_1""}","{""ImportId"":""QID29_2_2""}","{""ImportId"":""QID29_3_1""}","{""ImportId"":""QID29_3_2""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID27_1_1""}","{""ImportId"":""QID27_1_2""}","{""ImportId"":""QID27_2_1""}","{""ImportId"":""QID27_2_2""}","{""ImportId"":""QID27_3_1""}","{""ImportId"":""QID27_3_2""}","{""ImportId"":""QID27_4_1""}","{""ImportId"":""QID27_4_2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID21""}","{""ImportId"":""QID30_TEXT""}"
06/04/2022 06:34,06/04/2022 06:38,IP Address,100,230,TRUE,06/04/2022 06:38,R_2wiSuOka5OJOCjM,anonymous,EN-GB,I agree,Test4,Yes,Yes,C2 - proficient,"Simultaneously - while learning Hungarian, under the age of 7","One or both parents are English speakers, but not native",,,,1,14,Yes,German,C2,,,,,"Budapest, Hungary",,"York, UK",,No,,,,,,,,,23,Female,Bachelor's Degree,
06/04/2022 06:44,06/04/2022 06:49,IP Address,100,288,TRUE,06/04/2022 06:49,R_30utQfwHR31qrfK,anonymous,EN-GB,I agree,test1,Yes,Yes,C1 - advanced,"Sequentially - after learning Hungarian, over the age of 7",,,At school,,14,18,Yes,German,C2,,,,,"Szöny, Hungary",32 years,"Munich, Germany",22 years,No,,,,,,,,,54,Female,Master's Degree,
06/04/2022 06:51,06/04/2022 06:54,IP Address,100,151,TRUE,06/04/2022 06:54,R_3Hnycb4QVSrErtv,anonymous,EN-GB,I agree,test2,Yes,Yes,C1 - advanced,"Sequentially - after learning Hungarian, over the age of 7",,,At school,,14,18,Yes,German,C2,,,,,"Szöny, Hungary",32 years,"Munich, Germany",22 years,No,,,,,,,,,54,Female,Master's Degree,
06/04/2022 06:57,06/04/2022 07:02,IP Address,100,300,TRUE,06/04/2022 07:02,R_323yRu1EcsnO5rw,anonymous,EN-GB,I agree,test3,Yes,Yes,C1 - advanced,"Sequentially - after learning Hungarian, over the age of 7",,,At school,,14,18,Yes,German,C2,,,,,"Szöny, Hungary",32 years,"Munich, Germany",22 years,No,,,,,,,,,54,Female,Master's Degree,
06/04/2022 11:00,06/04/2022 11:07,IP Address,100,376,TRUE,06/04/2022 11:07,R_2QKUIC3YFdUuQ1X,anonymous,EN-GB,I agree,Test5,Yes,Yes,C1 - advanced,"Sequentially - after learning Hungarian, over the age of 7",,,At school,,14,18,Yes,German,C2,,,,,"Szöny, Hungary",32 years,"Munich, Germany",22 years,No,,,,,,,,,54,Female,Master's Degree,
06/04/2022 11:08,06/04/2022 11:11,IP Address,100,166,TRUE,06/04/2022 11:11,R_3IPKlmAJCHrRFve,anonymous,EN-GB,I agree,Test6,Yes,Yes,C1 - advanced,"Sequentially - after learning Hungarian, over the age of 7",,,At school,,14,18,Yes,German,C2,,,,,"Szöny, Hungary",32 years,"Munich, Germany",22 years,No,,,,,,,,,54,Female,Master's Degree,
06/04/2022 11:11,06/04/2022 11:13,IP Address,100,159,TRUE,06/04/2022 11:13,R_1doBzatRgmJNenH,anonymous,EN-GB,I agree,Test7,Yes,Yes,C1 - advanced,"Sequentially - after learning Hungarian, over the age of 7",,,At school,,14,18,Yes,German,C2,,,,,"Szöny, Hungary",32 years,"Munich, Germany",22 years,No,,,,,,,,,54,Female,Master's Degree,
22/05/2022 02:15,22/05/2022 02:21,IP Address,100,335,TRUE,22/05/2022 02:21,R_6EZrOZyH0kbKP61,anonymous,EN-GB,I agree,1,Yes,Yes,C1 - advanced,"Sequentially - after learning Hungarian, over the age of 7",,,At school,,14,18,Yes,German,C2,,,,,"Szőny, Hungary",33 years,"Munich, Germany",22 years,No,,,,,,,,,54,Female,Master's Degree,
